,Rank,Previous Rank,Name,Country/Territory,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,IRN SCORE,IRN RANK,SUS SCORE,SUS RANK,Overall SCORE
535,535,701-710,Lebanese American University,Lebanon,HI,Private not for Profit,20.2,610,44.6,301,31.3,612,10.7,801+,80.6,293,26.6,638,78.3,380,58.3,539=,30.6
536,535,681-690,Prince Sultan University,Saudi Arabia,VH,Private not for Profit,10.6,701+,12.0,701+,19.4,801+,61.9,274,100.0,35,23.2,686,62.7,654,45.7,801+,30.6
537,535,527,Universität Leipzig,Germany,VH,Public,31.5,391,14.0,701+,85.3,132,13.0,801+,,,24.0,673,82.7,298,57.2,557,30.6
538,535,596,University of Ljubljana,Slovenia,VH,Public,29.7,414,18.9,689,45.6,431,11.0,801+,7.1,801+,18.1,760,85.7,241,54.2,619=,30.6
539,540,580,Jinan University (China),China (Mainland),VH,Public,8.6,701+,8.7,701+,12.3,801+,75.3,177,41.6,486,89.1,174,47.2,801+,40.5,801+,30.5
540,540,531,University of Utah,United States of America,VH,Public,21.8,570,13.1,701+,53.8,349,38.3,488,21.2,695,18.2,759,74.5,455,59.6,509=,30.5
541,542,592,Ain Shams University,Egypt,VH,Public,35.6,340,38.8,357,17.1,801+,3.5,801+,29.5,590,13.7,801+,80.8,336,56.7,562=,30.3
542,542,587,Universiti Teknologi MARA - UiTM,Malaysia,VH,Public,44.5,267,48.8,265,26.3,709,5.6,801+,2.5,801+,3.4,801+,74.3,458,55.4,593=,30.3
543,542,513,University of Milano-Bicocca,Italy,VH,Public,28.6,438,19.2,677,5.2,801+,56.0,317,7.3,801+,8.3,801+,80.8,335,53.6,630=,30.3
544,542,570,University of the Punjab,Pakistan,VH,Public,22.5,559,57.6,203,5.7,801+,24.4,649,4.0,801+,1.7,801+,71.8,504,44.3,801+,30.3
545,546,554,Universität Ulm,Germany,VH,Public,10.9,701+,10.2,701+,83.9,147,43.8,430,47.5,450,30.8,582,67.2,585,38.7,801+,30.2
546,546,488,University of Hawaii at Mañoa,United States of America,VH,Public,21.3,583,10.5,701+,32.4,594,51.8,366,25.2,650,11.1,801+,84.5,264,60.9,486=,30.2
547,546,547,University of Windsor,Canada,VH,Public,5.1,701+,7.1,701+,2.7,801+,58.2,299,89.4,228,94.6,132,49.5,801+,68.7,339=,30.2
548,549,573,Florida State University,United States of America,VH,Public,32.7,375,24.0,562,11.4,801+,34.1,536,16.4,772,9.0,801+,74.5,454,62.5,449,30.1
549,550,535,Northumbria University at Newcastle,United Kingdom,VH,Public,16.6,701+,19.1,681,18.2,801+,30.6,580,64.5,360,63.6,313,81.5,321,77.8,201=,30
550,551,596,Thammasat University,Thailand,HI,Public,36.7,329,38.3,365,27.2,694,3.9,801+,15.9,779,2.2,801+,45.7,801+,60.7,494=,29.9
551,551,641-650,Universiti Tenaga Nasional (UNITEN),Malaysia,VH,Private for Profit,9.5,701+,19.9,660,76.6,187,34.1,535,34.7,537,70.5,274,55.7,754,48.7,737=,29.9
552,553,539,Hitotsubashi University,Japan,VH,Public,19.7,627,78.1,112,42.2,473,4.0,801+,31.3,573,33.5,553,11.7,801+,32.2,801+,29.8
553,553,506,University of Delaware,United States of America,VH,Public,12.5,701+,9.4,701+,9.6,801+,64.1,255,48.2,447,22.5,695,68.5,559,72.9,275=,29.8
554,555,535,Lahore University of Management Sciences (LUMS),Pakistan,VH,Private not for Profit,21.4,578,77.3,114,28.8,660,16.5,775,10.8,801+,3.1,801+,26.2,801+,45.0,801+,29.7
555,556,477,Indian Institute of Technology Indore,India,VH,Public,8.0,701+,16.9,701+,28.8,658,96.9,57,1.8,801+,1.3,801+,28.2,801+,34.7,801+,29.6
556,556,651-660,University of Houston,United States of America,VH,Public,18.7,656,24.9,541,8.1,801+,30.2,585,48.0,448,43.9,459,74.1,465,57.1,558,29.6
557,558,552,Al Ain University,United Arab Emirates,VH,Private not for Profit,25.6,494,20.8,631,20.8,801+,17.0,764,100.0,1,100.0,20,37.1,801+,42.9,801+,29.5
558,558,526,Coventry University,United Kingdom,VH,Public,16.0,701+,18.5,697,21.8,798,14.8,801+,85.1,258,99.5,62,84.3,271,71.2,297=,29.5
559,558,580,Jawaharlal Nehru University,India,VH,Public,39.8,303,17.4,701+,16.7,801+,37.6,497,,,1.7,801+,56.9,737,59.3,514=,29.5
560,558,576,Sogang University,Republic of Korea,VH,Private not for Profit,27.3,459,51.9,235,61.3,290,8.9,801+,9.5,801+,35.3,537,16.2,801+,49.8,706=,29.5
561,558,587,University of Kwazulu-Natal,South Africa,VH,Public,17.9,682,14.4,701+,6.9,801+,44.5,420,29.1,591,2.1,801+,95.9,62,63.0,441=,29.5
562,563,631-640,Ajou University,Republic of Korea,VH,Private not for Profit,19.8,623,22.1,600,70.2,230,34.3,530,13.3,801+,58.0,355,18.1,801+,53.3,636=,29.4
563,563,611-620,American University of the Middle East,Kuwait,HI,Private for Profit,25.9,487,34.7,416,28.9,652,8.9,801+,100.0,7,36.9,528,67.2,586,47.2,783=,29.4
564,563,574,University of Debrecen,Hungary,HI,Public,27.3,458,21.5,613,45.9,426,7.4,801+,14.4,801+,76.5,248,74.9,444,70.4,311=,29.4
565,566,474,Bangor University,United Kingdom,VH,Public,12.8,701+,10.5,701+,18.9,801+,44.4,422,38.1,515,77.4,239,74.7,447,78.0,195=,29.3
566,566,531,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,VH,Public,9.3,701+,19.4,670,5.2,801+,98.0,47,2.5,801+,1.2,801+,30.5,801+,48.3,749=,29.3
567,566,621-630,Renmin (People’s) University of China,China (Mainland),VH,Public,29.7,416,50.0,255,21.3,801+,16.6,771,8.9,801+,9.1,801+,26.0,801+,44.5,801+,29.3
568,566,631-640,Savitribai Phule Pune University,India,VH,Public,11.1,701+,20.3,647,47.1,420,63.8,257,,,3.3,801+,54.7,773,43.0,801+,29.3
569,566,611-620,University of Minho,Portugal,VH,Public,22.2,564,17.1,701+,28.3,676,38.6,485,21.3,694,26.0,645,83.6,284,67.7,353=,29.3
570,571,501,Colorado School of Mines,United States of America,VH,Public,11.3,701+,22.5,588,18.8,801+,69.9,216,28.7,599,11.2,801+,30.9,801+,54.7,608=,29.2
571,571,641-650,Hacettepe University,Türkiye,VH,Public,33.0,371,50.5,251,18.5,801+,11.8,801+,3.9,801+,6.1,801+,73.5,483,58.3,539=,29.2
572,571,489,Isfahan University of Technology,Iran (Islamic Republic of),VH,,7.8,701+,22.6,586,6.4,801+,97.7,50,2.2,801+,3.9,801+,45.7,801+,28.0,801+,29.2
573,571,611-620,Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio),Brazil,VH,Private not for Profit,42.5,279,23.5,570,17.2,801+,14.6,801+,16.1,776,2.6,801+,46.1,801+,51.3,677=,29.2
574,575,611-620,Brno University of Technology,Czechia,VH,Public,17.7,691,36.4,393,37.0,544,13.7,801+,26.7,631,77.3,241,80.7,339,61.3,471=,29.1
575,575,691-700,Chandigarh University,India,HI,Private not for Profit,22.4,561,70.0,147,34.2,573,2.8,801+,44.5,469,25.1,662,66.3,603,44.0,801+,29.1
576,575,526,Universität Jena,Germany,VH,Public,23.4,540,10.4,701+,100.0,21,12.7,801+,,,34.1,548,91.1,154,53.2,641=,29.1
577,578,576,Universidad Adolfo Ibáñez,Chile,VH,Private not for Profit,28.7,433,63.3,170,7.6,801+,9.1,801+,46.4,460,8.0,801+,34.4,801+,40.0,801+,29
578,578,562,Universiti Teknologi Brunei,Brunei Darussalam,VH,Public,20.2,609,13.1,701+,86.5,123,22.7,673,100.0,62,7.7,801+,20.7,801+,34.7,801+,29
579,578,552,University of Tabriz,Iran (Islamic Republic of),VH,Public,9.7,701+,11.2,701+,2.9,801+,91.7,94,1.7,801+,25.4,655,76.9,408,29.6,801+,29
580,581,544,Universidad Pontificia Comillas,Spain,VH,Private not for Profit,12.3,701+,76.7,117,48.4,400,4.1,801+,25.4,644,11.2,801+,10.4,801+,49.2,729=,28.9
581,582,574,Florida International University,United States of America,HI,Public,22.7,551,38.3,363,18.3,801+,17.5,759,27.7,617,22.6,692,84.7,260,79.0,187,28.8
582,582,547,University of Iceland,Iceland,VH,,9.6,701+,2.0,701+,99.6,35,18.0,751,32.4,557,18.1,761,75.5,432,49.4,719=,28.8
583,584,621-630,Charles Darwin University,Australia,VH,Public,7.8,701+,7.3,701+,6.4,801+,65.1,247,41.8,483,88.9,178,49.7,801+,70.7,305=,28.7
584,584,564,Eotvos Lorand University,Hungary,VH,Public,31.6,390,29.7,479,16.6,801+,9.3,801+,5.7,801+,26.1,644,79.8,354,68.1,349=,28.7
585,584,554,University of Dhaka,Bangladesh,HI,Public,30.5,401,51.3,242,10.5,801+,6.9,801+,2.2,801+,1.4,801+,57.8,720,54.2,619=,28.7
586,587,711-720,American University,United States of America,VH,Private not for Profit,19.8,624,50.2,253,45.1,433,7.6,801+,16.7,770,27.0,630,34.6,801+,74.6,247=,28.6
587,587,641-650,National Central University,Taiwan,VH,Public,28.9,428,38.7,360,26.4,706,25.6,628,18.5,735,18.4,755,33.9,801+,60.6,496,28.6
588,587,562,Université Claude Bernard Lyon 1,France,VH,Public,26.1,486,5.9,701+,9.6,801+,53.0,356,10.1,801+,20.5,723,91.7,149,51.0,680=,28.6
589,587,580,Université Paul Sabatier Toulouse III,France,VH,Public,24.6,519,4.4,701+,45.5,432,36.4,514,6.9,801+,33.2,557,98.1,21,50.4,696=,28.6
590,591,485,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,MD,Public,8.4,701+,9.5,701+,37.6,536,48.6,383,100.0,9,100.0,15,15.3,801+,25.3,801+,28.5
591,591,587,Bond University,Australia,VH,Private not for Profit,5.9,701+,8.3,701+,52.1,362,53.8,346,63.5,366,90.4,164,24.6,801+,23.5,801+,28.5
592,591,601-610,Illinois Institute of Technology,United States of America,VH,Private not for Profit,16.9,701+,23.3,575,15.8,801+,47.5,396,18.7,734,99.7,48,27.3,801+,32.5,801+,28.5
593,591,497,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,VH,Public,10.3,701+,20.9,627,99.3,40,11.2,801+,60.6,387,93.3,142,30.2,801+,23.0,801+,28.5
594,595,671-680,Universidade Federal de Minas Gerais,Brazil,VH,Public,45.4,257,16.9,701+,21.1,801+,11.8,801+,9.0,801+,2.5,801+,67.6,574,48.2,751=,28.4
595,595,621-630,Zayed University,United Arab Emirates,VH,Public,19.8,625,31.7,452,34.7,567,21.8,688,100.0,17,2.8,801+,48.5,801+,41.1,801+,28.4
596,597,611-620,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,HI,Private for Profit,17.3,701+,23.7,565,74.2,204,2.9,801+,95.6,169,100.0,16,14.1,801+,39.0,801+,28.3
597,597,554,Hasselt University,Belgium,HI,Public,8.8,701+,5.2,701+,85.7,128,22.8,671,78.5,306,41.1,483,69.8,533,62.7,444=,28.3
598,597,580,Management and Science University - MSU Malaysia,Malaysia,VH,Private for Profit,25.1,509,20.9,629,55.3,340,3.2,801+,99.6,107,100.0,23,10.8,801+,36.8,801+,28.3
599,597,611-620,Taipei Medical University,Taiwan,VH,Private not for Profit,16.9,701+,14.7,701+,94.2,83,32.3,558,20.0,713,22.0,699,24.7,801+,48.1,757=,28.3
600,597,631-640,Tulane University,United States of America,HI,Private not for Profit,14.5,701+,13.8,701+,87.2,117,17.5,760,20.3,708,18.5,752,79.2,363,51.8,665=,28.3
601,597,570,University of Szeged,Hungary,HI,Private not for Profit,26.2,484,22.7,583,41.9,482,8.9,801+,15.4,801+,56.4,368,75.3,438,69.4,323=,28.3
602,597,596,University of Texas at Dallas,United States of America,VH,Public,19.3,641,33.7,426,5.5,801+,43.0,438,14.4,801+,61.1,335,55.3,765,48.9,733,28.3
603,604,523,Canadian University of Dubai,United Arab Emirates,HI,Private for Profit,22.7,553,29.7,478,40.3,499,7.0,801+,100.0,4,100.0,7,18.8,801+,17.6,801+,28.2
604,604,601-610,National Chengchi University,Taiwan,HI,Public,28.3,444,46.9,279,21.2,801+,3.4,801+,38.0,516,36.2,532,12.8,801+,41.4,801+,28.2
605,604,535,University of Eastern Finland,Finland,VH,Public,18.9,649,10.3,701+,45.0,435,35.3,520,39.2,507,12.0,801+,84.0,275,71.2,297=,28.2
606,607,691-700,University of Siena,Italy,VH,Public,21.4,580,7.8,701+,15.3,801+,60.2,288,4.6,801+,19.7,734,61.2,675,63.4,433=,28
607,607,481,University of Tennessee,United States of America,VH,Public,14.3,701+,11.7,701+,12.9,801+,69.3,220,6.9,801+,4.6,801+,68.6,557,54.8,606=,28
608,609,592,Nottingham Trent University,United Kingdom,VH,Public,16.4,701+,22.9,580,15.5,801+,10.7,801+,67.1,349,90.4,165,84.8,258,77.5,206=,27.9
609,609,559,Peter the Great St.Petersburg Polytechnic University,Russian Federation,VH,Public,18.0,679,17.8,701+,79.8,169,4.9,801+,18.9,730,89.8,167,70.4,522,51.6,669=,27.9
610,609,741-750,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,VH,Public,17.2,701+,9.9,701+,23.6,760,57.9,300,32.1,561,19.0,746,61.6,668,51.4,675=,27.9
611,609,559,University of Ulster,United Kingdom,VH,Public,12.6,701+,19.8,664,11.4,801+,19.0,731,100.0,94,90.1,166,71.5,508,75.6,227,27.9
612,613,539,Applied Science University - Bahrain,Bahrain,VH,Private not for Profit,26.6,473,29.4,485,51.6,367,4.5,801+,100.0,14,62.3,324,12.3,801+,23.9,801+,27.8
613,613,661-670,City University of New York,United States of America,VH,Public,25.3,505,59.4,195,14.3,801+,6.4,801+,8.4,801+,8.3,801+,92.9,128,55.4,593=,27.8
614,613,661-670,International Islamic University Malaysia (IIUM),Malaysia,HI,Public,36.0,337,27.3,503,17.9,801+,6.2,801+,29.1,592,69.0,282,58.6,712,32.0,801+,27.8
615,613,631-640,Universidad de Concepción,Chile,HI,Private not for Profit,36.8,325,34.0,422,20.2,801+,12.3,801+,14.5,801+,2.6,801+,64.1,634,69.5,321=,27.8
616,613,661-670,University of Plymouth,United Kingdom,HI,Public,13.8,701+,14.2,701+,15.4,801+,36.7,508,61.3,382=,61.4,332,82.1,311,58.6,530=,27.8
617,618,611-620,Christian-Albrechts-Universität zu Kiel,Germany,VH,Public,24.4,522,14.6,701+,56.7,325,20.9,700,,,15.1,801+,92.4,139,59.2,516=,27.7
618,618,701-710,Dongguk University,Republic of Korea,HI,Private not for Profit,12.8,701+,18.0,701+,76.3,189,29.9,589,22.9,676,52.3,395,36.2,801+,56.5,571=,27.7
619,618,711-720,Saint Joseph University of Beirut (USJ),Lebanon,HI,Private not for Profit,13.4,701+,38.2,366,62.3,285,4.2,801+,94.3,186,40.7,485,30.2,801+,35.0,801+,27.7
620,618,511,Zhengzhou University,China (Mainland),VH,Public,7.1,701+,23.8,564,7.0,801+,82.7,137,,,4.1,801+,62.3,661,42.3,801+,27.7
621,622,559,Umm Al-Qura University,Saudi Arabia,HI,Public,23.6,537,15.4,701+,61.3,291,4.9,801+,100.0,95,26.1,643,71.3,510,36.8,801+,27.6
622,622,681-690,University of New Brunswick,Canada,VH,Public,7.1,701+,17.9,701+,22.2,786,41.1,458,67.5,346,65.1,308,51.1,801+,62.7,444=,27.6
623,624,721-730,Diponegoro University,Indonesia,HI,Public,30.0,405,53.2,229,30.5,622,2.3,801+,46.4,461,7.1,801+,35.5,801+,51.0,680=,27.5
624,624,641-650,Oregon State University,United States of America,VH,Public,19.7,626,11.9,701+,20.4,801+,44.4,423,17.3,761,11.9,801+,80.3,350,64.1,420=,27.5
625,624,641-650,Universidad del Pais Vasco,Spain,VH,Public,28.6,435,10.8,701+,38.4,530,27.8,608,3.0,801+,6.3,801+,90.1,172,51.5,673=,27.5
626,624,413,Yeshiva University,United States of America,MD,Private not for Profit,3.8,701+,4.6,701+,62.7,282,72.8,191,36.4,527,27.7,618,15.3,801+,36.4,801+,27.5
627,628,621-630,Istanbul University,Türkiye,HI,Public,33.3,368,43.0,313,4.5,801+,5.1,801+,7.0,801+,20.6,720,70.5,518,37.5,801+,27.4
628,628,671-680,Kazakh National Pedagogical University Abai,Kazakhstan,MD,Public,31.7,387,34.9,409,71.2,217,1.3,801+,55.4,409,13.5,801+,9.0,801+,35.6,801+,27.4
629,628,527,Missouri University of Science and Technology,United States of America,VH,Public,4.9,701+,10.5,701+,8.6,801+,87.7,112,26.9,627,32.5,563,41.7,801+,34.0,801+,27.4
630,628,661-670,National Chung Hsing University,Taiwan,VH,Public,28.6,436,30.9,463,29.4,642,22.5,677,12.3,801+,14.0,801+,34.5,801+,56.3,573=,27.4
631,628,651-660,Universidade de Santiago de Compostela,Spain,VH,Public,33.9,359,16.0,701+,17.5,801+,27.6,612,3.0,801+,11.8,801+,77.3,399,62.4,450=,27.4
632,628,601-610,University of Crete,Greece,HI,Public,19.3,639,17.8,701+,3.9,801+,69.6,219,2.7,801+,7.2,801+,61.9,664,40.6,801+,27.4
633,628,601-610,University of South Carolina,United States of America,VH,Public,17.7,693,21.9,605,13.5,801+,37.1,502,54.6,414,5.9,801+,68.0,568,68.9,331=,27.4
634,635,621-630,Tallinn University of Technology,Estonia,VH,Public,16.2,701+,18.6,694,33.5,581,23.5,665,53.2,425,26.8,635,81.2,326,43.0,801+,27.2
635,635,601-610,Universität des Saarlandes,Germany,VH,Public,14.0,701+,10.1,701+,96.3,65,12.1,801+,6.3,801+,62.3,325,70.4,520,31.9,801+,27.2
636,635,631-640,University of Portsmouth,United Kingdom,VH,Public,10.9,701+,13.1,701+,12.0,801+,27.8,607,80.1,297,90.7,160,81.5,322,62.6,448,27.2
637,638,,"Lincoln University College, Malaysia",Malaysia,HI,Private for Profit,11.1,701+,26.0,521,95.6,69,1.8,801+,100.0,75,100.0,26,5.2,801+,12.5,801+,27.1
638,638,576,Southern Cross University,Australia,VH,Public,6.0,701+,4.3,701+,3.9,801+,55.5,322,92.7,203,62.6,322,61.1,677,65.9,385=,27.1
639,638,544,Universidad de Zaragoza,Spain,VH,Public,29.7,413,9.9,701+,54.6,346,15.6,792,2.3,801+,10.2,801+,89.2,185,69.7,319,27.1
640,638,570,"University of Chemistry and Technology, Prague",Czechia,VH,Public,8.2,701+,12.2,701+,99.5,38,19.2,727,33.7,547,85.4,194,32.0,801+,43.4,801+,27.1
641,642,539,University of Fribourg,Switzerland,VH,Public,13.6,701+,5.5,701+,14.1,801+,27.3,615,99.9,98,52.5,392,60.4,687,66.8,367,27
642,643,621-630,Abo Akademi University,Finland,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,59.8,696,45.2,801+,26.9
643,643,631-640,Inha University,Republic of Korea,VH,Private not for Profit,17.5,699,19.9,659,74.7,198,23.8,661,17.7,752,25.7,650,28.1,801+,64.7,405=,26.9
644,643,661-670,Libera Universita' di Bolzano,Italy,VH,Public,7.8,701+,3.1,701+,20.6,801+,62.4,267,66.1,355,56.3,370,51.9,801+,37.4,801+,26.9
645,643,601-610,Manchester Metropolitan University,United Kingdom,VH,Public,18.8,654,16.4,701+,11.4,801+,16.8,766,63.1,369,61.4,331,89.0,189,78.0,195=,26.9
646,643,661-670,University of Manitoba,Canada,VH,Public,19.2,643,20.0,657,31.8,604,22.6,675,,,68.4,287,70.0,532,55.7,582=,26.9
647,648,761-770,King Faisal University,Saudi Arabia,HI,Public,25.3,506,29.8,476,24.5,743,6.3,801+,99.4,121,11.0,801+,66.0,609,54.3,617=,26.8
648,648,621-630,"University of Tromso, The Arctic University of Norway",Norway,VH,Public,15.5,701+,7.9,701+,82.5,154,12.0,801+,75.9,313,12.9,801+,80.8,334,51.4,675=,26.8
649,650,567,MGIMO University,Russian Federation,HI,Public,10.7,701+,38.7,359,100.0,18,1.7,801+,15.4,799,57.2,361,6.7,801+,21.7,801+,26.7
650,650,601-610,Paris Lodron University of Salzburg,Austria,VH,Public,13.3,701+,4.8,701+,38.7,524,11.6,801+,98.4,137,98.1,86,59.1,705,62.2,454=,26.7
651,650,661-670,Universidad de la República (UdelaR),Uruguay,HI,Public,40.0,302,20.4,645,18.2,801+,2.3,801+,10.7,801+,4.1,801+,63.2,649,43.3,801+,26.7
652,650,691-700,University of Brescia,Italy,VH,Public,7.3,701+,4.1,701+,8.7,801+,85.0,124,2.0,801+,8.5,801+,58.8,710,63.9,425=,26.7
653,654,681-690,China University of Mining and Technology,China (Mainland),VH,Public,4.3,701+,6.4,701+,25.5,727,87.2,114,,,,,55.5,761,39.2,801+,26.6
654,654,641-650,De La Salle University,Philippines,HI,Private not for Profit,32.7,374,58.6,197,9.6,801+,6.8,801+,2.8,801+,3.5,801+,27.3,801+,44.1,801+,26.6
655,654,721-730,Konkuk University,Republic of Korea,VH,Private not for Profit,11.6,701+,12.8,701+,61.3,292,34.1,537,16.2,774,43.9,458,52.5,799,61.8,460=,26.6
656,654,721-730,Université de Lille,France,VH,Public,33.9,358,10.6,701+,6.1,801+,27.0,616,21.0,698,25.4,657,94.2,95,54.3,617=,26.6
657,654,681-690,"University of Agriculture, Faisalabad",Pakistan,VH,Public,7.3,701+,14.6,701+,2.2,801+,83.4,133,2.6,801+,1.2,801+,75.3,436,48.4,746=,26.6
658,654,621-630,University of South Florida,United States of America,VH,Public,17.4,701+,20.4,646,13.8,801+,36.7,507,14.3,801+,41.4,480,81.9,314,66.4,371=,26.6
659,660,671-680,Bar-Ilan University,Israel,VH,Public,11.0,701+,14.3,701+,10.4,801+,59.4,293,54.4,416,4.9,801+,53.2,792,41.7,801+,26.5
660,660,601-610,Ca' Foscari University of Venice,Italy,VH,Public,27.1,462,21.7,609,10.1,801+,20.7,703,44.0,471,18.6,749,68.2,564,74.0,259=,26.5
661,660,601-610,"Kingston University, London",United Kingdom,HI,Public,20.7,598,24.6,547,7.2,801+,12.7,801+,77.3,309,95.8,115,52.0,801+,49.5,715=,26.5
662,660,661-670,Memorial University of Newfoundland,Canada,VH,Public,10.7,701+,10.5,701+,15.7,801+,43.7,431,30.7,581,78.5,230,73.6,479,53.3,636=,26.5
663,664,711-720,COMSATS University Islamabad,Pakistan,VH,Public,17.0,701+,35.8,403,17.0,801+,36.8,506,1.4,801+,1.6,801+,87.3,212,62.7,444=,26.4
664,664,681-690,Indian Institute of Technology Hyderabad (IITH),India,VH,Public,10.3,701+,15.0,701+,20.2,801+,84.0,130,1.3,801+,1.9,801+,18.0,801+,42.3,801+,26.4
665,664,711-720,University of Mumbai,India,VH,Public,11.3,701+,31.5,454,4.7,801+,53.7,348,3.0,801+,4.3,801+,27.6,801+,41.3,801+,26.4
666,664,701-710,University of Oklahoma,United States of America,VH,Public,14.3,701+,18.6,695,19.8,801+,41.5,455,27.8,611,9.8,801+,72.3,494,60.5,497=,26.4
667,668,801-850,Birla Institute of Technology and Science,India,VH,Private not for Profit,18.0,678,32.6,441,12.4,801+,39.3,480,2.9,801+,4.0,801+,41.8,801+,58.8,525=,26.3
668,668,631-640,Chang Gung University,Taiwan,VH,Private not for Profit,9.3,701+,6.6,701+,74.6,200,58.2,298,7.9,801+,9.5,801+,25.5,801+,48.8,734=,26.3
669,668,671-680,Karl-Franzens-Universität Graz,Austria,VH,Public,26.8,469,13.1,701+,18.9,801+,13.6,801+,53.4,424,38.6,511,70.3,524,52.7,652=,26.3
670,668,641-650,Lehigh University,United States of America,VH,Private not for Profit,7.2,701+,12.4,701+,30.5,625,37.1,501,68.9,339,40.0,490,44.9,801+,61.5,467=,26.3
671,668,651-660,Palacký University in Olomouc,Czechia,VH,Public,21.5,576,19.8,665,36.5,550,14.7,801+,40.1,499,28.5,606,85.8,239,67.5,358=,26.3
672,673,641-650,East China University of Science and Technology,China (Mainland),VH,Public,9.1,701+,10.3,701+,15.4,801+,82.5,140,3.3,801+,2.5,801+,43.5,801+,40.2,801+,26.2
673,673,701-710,Stevens Institute of Technology,United States of America,VH,Private not for Profit,4.0,701+,10.0,701+,8.4,801+,60.9,282,54.1,418,98.7,79,21.7,801+,46.7,799=,26.2
674,673,801-850,Technische Universität Dortmund,Germany,VH,Public,18.5,661,35.5,406,42.7,466,11.1,801+,32.3,559,36.7,529,76.5,412,43.0,801+,26.2
675,676,641-650,Beirut Arab University,Lebanon,HI,Private not for Profit,20.0,614,22.2,597,28.8,661,7.6,801+,94.8,180,61.1,334,29.6,801+,42.1,801+,26.1
676,676,721-730,Jadavpur University,India,VH,Public,23.2,544,10.5,701+,13.7,801+,55.8,319,,,1.1,801+,44.0,801+,61.4,470,26.1
677,678,621-630,American University in Dubai,United Arab Emirates,HI,Private for Profit,14.4,701+,38.3,364,26.2,714,3.8,801+,100.0,2,100.0,11,4.3,801+,25.4,801+,26
678,678,671-680,University of Haifa,Israel,VH,Public,17.4,701+,13.0,701+,15.8,801+,44.8,417,17.8,751,6.7,801+,69.6,539,67.4,360,26
679,680,651-660,HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,HI,Private not for Profit,17.6,696,25.5,531,85.2,133,2.5,801+,40.1,498,70.5,275,14.1,801+,51.5,673=,25.9
680,680,761-770,Nanjing University of Aeronautics and Astronautics,China (Mainland),VH,Public,6.3,701+,10.9,701+,26.4,707,79.7,158,7.2,801+,8.8,801+,46.2,801+,37.0,801+,25.9
681,680,641-650,Ritsumeikan University,Japan,HI,Private not for Profit,25.7,493,61.5,187,10.3,801+,5.0,801+,36.5,525,17.8,766,41.1,801+,64.4,413=,25.9
682,680,801-850,University of Brawijaya,Indonesia,HI,Public,30.1,404,55.3,218,20.4,801+,1.9,801+,35.9,531,2.7,801+,27.3,801+,53.3,636=,25.9
683,684,661-670,Comenius University Bratislava,Slovakia,HI,Public,16.8,701+,14.7,701+,61.3,293,6.9,801+,8.4,801+,39.0,504,68.8,549,43.7,801+,25.8
684,684,711-720,Ton Duc Thang University,Viet Nam,VH,Public,6.1,701+,13.3,701+,8.6,801+,74.8,180,7.7,801+,2.0,801+,88.1,200,43.9,801+,25.8
685,686,631-640,China University of Petroleum,China (Mainland),VH,Public,3.1,701+,6.8,701+,10.7,801+,94.5,77,7.2,801+,5.2,801+,26.4,801+,35.3,801+,25.7
686,686,,Cyprus University of Technology,Cyprus,VH,Public,8.1,701+,4.9,701+,49.3,389,39.8,472,68.1,343,42.0,474,46.6,801+,49.6,711=,25.7
687,688,951-1000,Baku State University,Azerbaijan,HI,Public,22.0,566,20.1,654,94.0,85,1.9,801+,13.4,801+,7.0,801+,22.1,801+,43.3,801+,25.6
688,688,576,Tomsk Polytechnic University,Russian Federation,VH,Public,9.4,701+,15.4,701+,96.0,67,7.0,801+,14.8,801+,88.8,179,60.4,686,47.7,765=,25.6
689,688,731-740,Université Côte d’Azur,France,VH,Public,21.6,573,8.2,701+,9.1,801+,27.7,609,36.5,526,51.0,402,83.3,288,69.2,326=,25.6
690,691,611-620,Eastern Mediterranean University,Northern Cyprus,HI,Public,9.2,701+,4.5,701+,5.6,801+,31.3,571,77.1,311,100.0,19,51.3,801+,45.4,801+,25.4
691,691,691-700,Universidade Federal do Rio Grande Do Sul,Brazil,VH,Public,36.8,327,9.2,701+,20.0,801+,15.7,788,3.8,801+,2.4,801+,80.5,344,63.9,425=,25.4
692,691,741-750,Universität Regensburg,Germany,VH,Public,16.0,701+,11.9,701+,77.3,181,13.3,801+,39.4,505,17.7,768,71.0,512,38.7,801+,25.4
693,691,791-800,"Vellore Institute of Technology (VIT), Vellore, India",India,VH,Private not for Profit,20.5,601,26.0,519,11.6,801+,34.3,531,5.0,801+,5.3,801+,81.2,327,65.2,393=,25.4
