Country,University_Name,World_Rank,National_Rank,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank
United Kingdom,University of United Kingdom 257,257,26,249,254,255,5259,3862,1397,435,12.1,High,22,44971,20,85,271,246
Spain,University of Spain 258,258,26,254,252,276,45791,34914,10877,3379,13.6,High,5,58969,35,68,279,262
Switzerland,University of Switzerland 259,259,26,266,268,276,34186,24440,9746,1426,24.0,High,30,47226,48,70,257,271
Spain,University of Spain 260,260,27,257,261,255,19385,15079,4306,1899,10.2,High,9,14928,65,75,274,275
Brazil,University of Brazil 261,261,27,253,255,274,11879,7485,4394,690,17.2,High,18,35913,26,81,286,235
Australia,University of Australia 262,262,27,267,249,248,47574,31085,16489,4672,10.2,High,45,7082,15,64,227,266
Switzerland,University of Switzerland 263,263,27,258,256,257,45849,35371,10478,2672,17.2,High,28,52680,49,76,302,256
France,University of France 264,264,27,269,251,263,8099,5293,2806,725,11.2,High,40,38368,37,84,225,282
Germany,University of Germany 265,265,27,257,265,255,12500,9358,3142,680,18.4,High,41,48310,77,77,245,294
Singapore,University of Singapore 266,266,27,274,273,282,32049,19436,12613,1313,24.4,High,16,2088,7,63,258,278
Australia,University of Australia 267,267,27,266,267,253,40826,21048,19778,2964,13.8,High,17,34439,22,72,220,270
Germany,University of Germany 268,268,27,260,260,285,32161,21903,10258,1352,23.8,High,33,15013,65,89,256,271
Brazil,University of Brazil 269,269,27,278,273,258,45439,34273,11166,2531,18.0,High,29,18102,48,61,248,262
Italy,University of Italy 270,270,28,271,264,265,10534,5628,4906,643,16.4,High,8,28495,65,68,234,288
South Korea,University of South Korea 271,271,28,277,276,266,43121,33702,9419,2017,21.4,High,49,48189,46,98,318,282
Germany,University of Germany 272,272,28,270,277,287,51396,28333,23063,4325,11.9,High,12,14464,47,89,227,252
Canada,University of Canada 273,273,28,278,263,287,35934,24851,11083,2568,14.0,High,40,10850,9,81,287,246
Singapore,University of Singapore 274,274,28,277,276,286,32807,23595,9212,1638,20.0,High,12,25597,9,79,262,276
India,University of India 275,275,28,277,280,277,13255,7365,5890,583,22.7,High,6,44062,52,61,264,249
Italy,University of Italy 276,276,28,272,267,262,19337,13442,5895,1400,13.8,High,35,20490,69,77,257,280
India,University of India 277,277,28,283,283,276,16936,8627,8309,1170,14.5,High,40,47713,30,77,248,295
Spain,University of Spain 278,278,28,287,264,271,21453,11397,10056,961,22.3,High,27,49469,29,85,327,292
France,University of France 279,279,28,274,271,259,53920,29546,24374,3528,15.3,High,12,11698,74,68,256,285
Netherlands,University of Netherlands 280,280,29,278,277,264,7118,5402,1716,459,15.5,High,11,57250,12,75,267,271
Netherlands,University of Netherlands 281,281,29,272,267,281,24897,17208,7689,1008,24.7,High,44,31296,67,83,322,295
France,University of France 282,282,29,281,283,290,51093,29754,21339,2089,24.5,High,46,56269,40,94,280,290
Germany,University of Germany 283,283,29,285,268,263,38571,29611,8960,1585,24.3,High,38,33173,67,76,244,285
Canada,University of Canada 284,284,29,276,272,267,36504,26325,10179,3081,11.8,High,48,57720,31,75,285,293
India,University of India 285,285,29,275,296,274,35044,25974,9070,2688,13.0,High,43,16522,8,92,268,312
United States,University of United States 286,286,29,283,294,275,55623,32202,23421,4040,13.8,High,34,15016,7,63,314,261
Italy,University of Italy 287,287,29,295,276,279,41642,22803,18839,3761,11.1,High,38,36529,33,91,276,268
Switzerland,University of Switzerland 288,288,29,295,300,303,31801,19794,12007,1917,16.6,High,43,12798,15,90,296,309
Japan,University of Japan 289,289,29,289,293,292,57007,45501,11506,2305,24.7,High,38,18567,35,62,337,317
Italy,University of Italy 290,290,30,299,299,307,49830,25237,24593,2206,22.6,High,12,22256,11,83,338,284
United Kingdom,University of United Kingdom 291,291,30,282,282,290,54108,30176,23932,3187,17.0,High,48,3960,45,62,293,316
Singapore,University of Singapore 292,292,30,282,297,293,42465,24861,17604,1821,23.3,High,34,31821,8,71,242,266
Spain,University of Spain 293,293,30,300,288,276,16793,10895,5898,745,22.5,High,37,19414,37,86,247,313
China,University of China 294,294,30,296,282,313,23070,14094,8976,1221,18.9,High,23,46869,53,70,253,276
South Korea,University of South Korea 295,295,30,285,281,297,18849,10196,8653,1082,17.4,High,42,14790,63,84,340,323
Singapore,University of Singapore 296,296,30,299,307,292,13155,8517,4638,888,14.8,High,28,21841,40,73,262,274
Netherlands,University of Netherlands 297,297,30,297,293,278,47982,28723,19259,2270,21.1,High,42,36545,42,88,327,281
France,University of France 298,298,30,305,302,283,43004,23829,19175,2312,18.6,High,28,25979,57,72,310,279
Canada,University of Canada 299,299,30,291,289,316,40850,20984,19866,3772,10.8,High,32,43473,70,80,294,285
Italy,University of Italy 300,300,31,298,295,281,18736,12650,6086,899,20.8,High,47,21862,56,60,318,317
United Kingdom,University of United Kingdom 301,301,31,296,288,305,29069,21904,7165,2644,11.0,High,19,11787,17,86,296,301
Japan,University of Japan 302,302,31,295,294,293,39640,20269,19371,2870,13.8,High,13,38181,41,87,334,299
Germany,University of Germany 303,303,31,304,312,288,34274,22796,11478,1836,18.7,High,20,32801,27,70,265,293
Germany,University of Germany 304,304,31,310,305,310,32906,24807,8099,2820,11.7,High,48,48750,58,63,345,283
United Kingdom,University of United Kingdom 305,305,31,295,316,315,5043,3182,1861,301,16.8,High,25,8131,12,66,276,308
United States,University of United States 306,306,31,300,306,286,35579,24727,10852,1487,23.9,High,14,32512,36,84,266,322
United Kingdom,University of United Kingdom 307,307,31,304,315,314,37716,28928,8788,2310,16.3,High,46,51050,71,60,310,325
France,University of France 308,308,31,307,313,321,29373,23299,6074,2887,10.2,High,7,34611,68,70,259,298
China,University of China 309,309,31,308,307,321,45414,30498,14916,2647,17.2,High,21,22292,39,69,319,331
Singapore,University of Singapore 310,310,32,301,319,322,27425,14995,12430,1943,14.1,High,37,23036,64,79,269,324
South Korea,University of South Korea 311,311,32,319,312,293,12245,8750,3495,557,22.0,High,38,34054,59,78,337,295
Canada,University of Canada 312,312,32,314,305,319,53182,31348,21834,2146,24.8,High,36,26422,28,95,316,324
Germany,University of Germany 313,313,32,310,299,331,17905,13487,4418,1694,10.6,High,36,52790,43,97,322,340
Spain,University of Spain 314,314,32,305,311,317,27257,13973,13284,1444,18.9,High,32,31489,44,66,278,329
Japan,University of Japan 315,315,32,316,301,309,45326,23727,21599,2630,17.2,High,25,2004,40,60,338,343
Italy,University of Italy 316,316,32,323,324,313,16106,10462,5644,1321,12.2,High,42,11311,69,91,328,295
Netherlands,University of Netherlands 317,317,32,317,317,320,23193,16297,6896,948,24.5,High,37,3511,32,75,282,341
Canada,University of Canada 318,318,32,311,320,303,31917,25028,6889,1435,22.2,High,31,29484,8,73,336,319
South Korea,University of South Korea 319,319,32,324,328,316,24119,15415,8704,1240,19.5,High,44,10862,49,67,349,328
Netherlands,University of Netherlands 320,320,33,312,331,309,12888,9842,3046,637,20.2,High,27,21381,37,65,315,318
India,University of India 321,321,33,322,310,333,30570,20736,9834,2734,11.2,High,40,52255,30,82,367,317
South Korea,University of South Korea 322,322,33,322,333,341,50816,38220,12596,3081,16.5,High,42,6510,32,94,283,340
China,University of China 323,323,33,323,330,313,10909,7484,3425,532,20.5,High,23,45792,57,70,273,316
Australia,University of Australia 324,324,33,331,334,328,34444,18566,15878,1473,23.4,High,36,8852,27,78,336,348
Netherlands,University of Netherlands 325,325,33,315,319,334,54173,41027,13146,2719,19.9,High,22,30192,20,79,327,308
Brazil,University of Brazil 326,326,33,326,324,335,56779,30612,26167,3047,18.6,High,46,48101,64,86,331,348
Netherlands,University of Netherlands 327,327,33,325,312,307,54667,35706,18961,4140,13.2,High,48,56495,79,69,334,305
Netherlands,University of Netherlands 328,328,33,327,315,347,40769,21769,19000,2501,16.3,High,36,7874,57,85,315,333
Canada,University of Canada 329,329,33,325,314,309,39143,27141,12002,3131,12.5,High,13,14074,63,89,354,305
Singapore,University of Singapore 330,330,34,339,327,332,31253,21169,10084,2429,12.9,High,25,28029,50,97,331,351
Canada,University of Canada 331,331,34,322,319,342,11087,6694,4393,546,20.3,High,12,38849,19,93,330,359
Netherlands,University of Netherlands 332,332,34,334,329,333,27063,16130,10933,1638,16.5,High,10,21792,48,92,343,329
India,University of India 333,333,34,323,326,344,25664,16316,9348,1590,16.1,High,34,50736,63,93,289,346
Spain,University of Spain 334,334,34,330,319,339,21827,14578,7249,1464,14.9,High,17,26342,55,83,375,353
Canada,University of Canada 335,335,34,325,321,324,44439,32896,11543,1927,23.1,High,46,53298,77,72,293,310
Canada,University of Canada 336,336,34,334,336,346,26973,17842,9131,1158,23.3,High,42,9829,24,91,292,308
Brazil,University of Brazil 337,337,34,339,335,318,46227,23301,22926,2744,16.8,High,8,35308,25,92,383,321
Japan,University of Japan 338,338,34,338,333,320,39468,31323,8145,3216,12.3,High,41,59691,20,96,331,363
South Korea,University of South Korea 339,339,34,339,328,325,39507,26341,13166,3006,13.1,High,10,6827,44,69,330,327
India,University of India 340,340,35,349,354,331,32360,22108,10252,2481,13.0,High,38,3395,23,83,350,323
India,University of India 341,341,35,338,355,329,9849,7194,2655,673,14.6,High,22,5927,7,65,301,357
Canada,University of Canada 342,342,35,334,350,344,47032,32450,14582,2080,22.6,High,35,23241,52,88,350,341
Germany,University of Germany 343,343,35,344,345,354,44641,34723,9918,2381,18.7,High,15,25492,57,82,305,320
India,University of India 344,344,35,339,345,341,49291,33417,15874,3655,13.5,High,20,45153,75,93,388,315
South Korea,University of South Korea 345,345,35,337,341,354,6362,4179,2183,361,17.6,High,31,13144,53,78,349,363
Germany,University of Germany 346,346,35,340,342,326,53770,32259,21511,2340,23.0,High,30,35377,45,79,332,328
France,University of France 347,347,35,354,341,348,39569,26722,12847,2562,15.4,High,42,21662,37,96,376,336
Canada,University of Canada 348,348,35,350,355,335,15452,9148,6304,1458,10.6,High,30,42338,35,96,390,353
Switzerland,University of Switzerland 349,349,35,355,342,336,31239,24231,7008,2047,15.3,High,35,43236,31,75,366,364
Canada,University of Canada 350,350,36,350,345,357,9766,5832,3934,580,16.8,High,28,33274,11,78,384,336
South Korea,University of South Korea 351,351,36,358,356,361,50438,33002,17436,2358,21.4,High,20,16454,71,75,313,371
Netherlands,University of Netherlands 352,352,36,349,344,370,8704,5928,2776,617,14.1,High,35,52428,60,90,347,363
Switzerland,University of Switzerland 353,353,36,353,341,352,54708,29701,25007,3687,14.8,High,14,46945,31,84,325,329
Canada,University of Canada 354,354,36,358,367,369,35533,23025,12508,3241,11.0,High,23,21581,63,65,394,330
Singapore,University of Singapore 355,355,36,347,348,342,6072,4309,1763,482,12.6,High,48,25119,15,65,364,377
Australia,University of Australia 356,356,36,352,343,371,45118,35861,9257,2389,18.9,High,11,28231,58,78,389,350
Singapore,University of Singapore 357,357,36,358,371,357,58965,42025,16940,2775,21.2,High,48,12875,16,65,387,365
Japan,University of Japan 358,358,36,367,365,374,39349,31434,7915,1742,22.6,High,44,46321,64,87,367,352
Singapore,University of Singapore 359,359,36,358,372,349,27071,18324,8747,1092,24.8,High,23,26692,75,73,382,357
Singapore,University of Singapore 360,360,37,354,354,375,50833,26788,24045,3890,13.1,High,47,28040,31,66,383,382
Italy,University of Italy 361,361,37,364,346,349,21245,13740,7505,984,21.6,High,7,36218,19,62,365,377
Australia,University of Australia 362,362,37,354,360,359,32031,23022,9009,1728,18.5,High,13,39082,22,60,357,386
Germany,University of Germany 363,363,37,366,372,376,35322,26539,8783,1493,23.7,High,14,42145,30,66,389,345
Singapore,University of Singapore 364,364,37,357,370,373,33368,20942,12426,2653,12.6,High,22,2330,70,64,362,393
Germany,University of Germany 365,365,37,372,360,380,50022,27207,22815,2496,20.0,High,49,23871,12,61,386,356
Germany,University of Germany 366,366,37,372,362,348,53123,31807,21316,2403,22.1,High,14,2503,49,91,371,346
South Korea,University of South Korea 367,367,37,362,374,369,17087,13487,3600,1166,14.7,High,8,46425,45,93,355,376
France,University of France 368,368,37,363,380,371,6224,4321,1903,273,22.8,High,18,45339,53,62,319,371
France,University of France 369,369,37,362,377,367,53054,41240,11814,2122,25.0,High,20,59023,20,66,378,393
Italy,University of Italy 370,370,38,363,365,353,55416,28856,26560,4614,12.0,High,41,29740,31,96,328,358
Spain,University of Spain 371,371,38,371,382,357,42592,28515,14077,3046,14.0,High,35,23210,57,63,405,384
Netherlands,University of Netherlands 372,372,38,362,370,362,41528,23181,18347,2043,20.3,High,9,18193,54,61,333,394
Spain,University of Spain 373,373,38,367,380,358,14536,9183,5353,901,16.1,High,13,31516,59,77,346,379
South Korea,University of South Korea 374,374,38,373,370,370,24583,17982,6601,1407,17.5,High,44,9667,6,83,405,387
China,University of China 375,375,38,383,361,357,55572,41680,13892,2428,22.9,High,9,15344,52,83,387,370
Italy,University of Italy 376,376,38,383,383,384,6788,4390,2398,491,13.8,High,15,26117,55,93,371,359
Germany,University of Germany 377,377,38,382,385,392,10343,5610,4733,550,18.8,High,16,17451,9,70,423,390
United States,University of United States 378,378,38,374,392,387,33498,19387,14111,1849,18.1,High,30,33955,49,95,337,371
Japan,University of Japan 379,379,38,381,391,386,47583,30682,16901,2652,17.9,High,15,12846,73,60,336,362
Netherlands,University of Netherlands 380,380,39,380,366,368,12139,9082,3057,534,22.7,High,20,35820,36,77,423,381
Spain,University of Spain 381,381,39,384,379,393,51860,36447,15413,3339,15.5,High,19,30049,46,79,417,383
Singapore,University of Singapore 382,382,39,389,373,369,29148,15463,13685,1196,24.4,High,45,57863,25,79,384,373
Spain,University of Spain 383,383,39,384,378,379,36140,23025,13115,1586,22.8,High,18,35543,71,85,414,403
Australia,University of Australia 384,384,39,384,389,397,13919,7798,6121,1055,13.2,High,36,36530,41,75,393,394
Spain,University of Spain 385,385,39,393,389,384,43447,23511,19936,2690,16.2,High,39,32606,28,70,373,372
Germany,University of Germany 386,386,39,376,379,397,8440,5079,3361,587,14.4,High,7,28170,17,86,355,373
Brazil,University of Brazil 387,387,39,386,393,402,52621,33513,19108,4701,11.2,High,22,45241,36,98,396,374
Germany,University of Germany 388,388,39,391,394,373,48857,32075,16782,3136,15.6,High,48,54041,40,91,341,409
Brazil,University of Brazil 389,389,39,397,382,391,11534,6625,4909,471,24.5,High,18,4279,47,63,372,360
Singapore,University of Singapore 390,390,40,388,396,403,7846,4316,3530,350,22.4,High,19,17302,53,69,366,408
Italy,University of Italy 391,391,40,398,394,378,48194,31743,16451,2083,23.1,High,47,57490,23,93,349,420
Spain,University of Spain 392,392,40,400,381,381,28063,14374,13689,1442,19.5,High,47,32146,67,62,435,397
Canada,University of Canada 393,393,40,391,401,395,18131,13323,4808,1340,13.5,High,30,32492,44,75,346,419
Spain,University of Spain 394,394,40,403,384,400,43603,27358,16245,1972,22.1,High,18,12474,40,83,434,406
Japan,University of Japan 395,395,40,401,390,398,22340,14919,7421,2082,10.7,High,36,2978,20,96,355,384
United States,University of United States 396,396,40,392,397,411,48374,25173,23201,3150,15.4,High,48,39425,44,85,435,419
China,University of China 397,397,40,405,382,401,45063,35695,9368,2262,19.9,High,47,55961,45,88,437,389
Brazil,University of Brazil 398,398,40,400,397,403,51879,40891,10988,2944,17.6,High,6,6104,60,68,445,413
China,University of China 399,399,40,401,406,390,57979,44175,13804,2973,19.5,High,36,40864,25,98,425,381
Brazil,University of Brazil 400,400,41,395,403,399,37902,23431,14471,3426,11.1,High,16,42769,57,62,436,420
Brazil,University of Brazil 401,401,41,398,412,395,52302,27921,24381,2714,19.3,High,13,45393,11,62,360,415
Netherlands,University of Netherlands 402,402,41,393,395,414,32009,21149,10860,1802,17.8,High,9,29256,77,72,436,411
Singapore,University of Singapore 403,403,41,395,390,403,44425,32276,12149,2469,18.0,High,18,30483,40,64,435,374
Netherlands,University of Netherlands 404,404,41,411,403,419,56111,40020,16091,2554,22.0,High,35,58644,43,94,435,388
Italy,University of Italy 405,405,41,402,416,419,37141,24794,12347,1540,24.1,High,24,7899,24,64,399,376
Italy,University of Italy 406,406,41,404,408,388,41548,32609,8939,2299,18.1,High,27,32637,44,60,391,395
Canada,University of Canada 407,407,41,397,400,399,17096,9767,7329,848,20.2,High,19,33020,66,74,423,404
South Korea,University of South Korea 408,408,41,398,419,397,7951,5058,2893,331,24.0,High,10,54462,31,72,409,416
Spain,University of Spain 409,409,41,408,418,400,26653,17051,9602,2392,11.1,High,17,8315,24,68,422,387
Italy,University of Italy 410,410,42,414,421,426,29095,19691,9404,1217,23.9,High,23,56159,53,70,360,420
Canada,University of Canada 411,411,42,413,401,425,27036,16748,10288,1847,14.6,High,22,45576,48,97,395,429
Singapore,University of Singapore 412,412,42,405,397,415,7855,5490,2365,531,14.8,High,33,48130,27,81,454,419
Italy,University of Italy 413,413,42,406,409,420,36345,18842,17503,1554,23.4,High,40,4874,42,65,436,412
Brazil,University of Brazil 414,414,42,407,411,429,30141,23765,6376,2010,15.0,High,18,57891,42,92,453,386
France,University of France 415,415,42,421,419,395,57585,34484,23101,2451,23.5,High,33,21699,72,63,411,440
Spain,University of Spain 416,416,42,409,402,401,18194,13971,4223,1030,17.7,High,46,57305,68,80,464,435
India,University of India 417,417,42,414,408,399,46638,36215,10423,1926,24.2,High,46,15753,15,75,371,391
United Kingdom,University of United Kingdom 418,418,42,411,407,419,57133,43372,13761,3412,16.7,High,38,56215,14,90,446,390
Canada,University of Canada 419,419,42,425,408,407,26713,20833,5880,1571,17.0,High,12,53020,60,75,402,439
Spain,University of Spain 420,420,43,411,414,421,48034,38019,10015,1993,24.1,High,25,27561,18,66,403,406
Singapore,University of Singapore 421,421,43,426,422,434,7735,6092,1643,520,14.9,High,6,40484,25,87,438,391
India,University of India 422,422,43,423,436,430,11168,6317,4851,657,17.0,High,39,18644,39,62,384,409
Spain,University of Spain 423,423,43,423,432,430,58764,38759,20005,4422,13.3,High,26,41230,35,70,442,430
South Korea,University of South Korea 424,424,43,420,426,404,59396,43518,15878,2385,24.9,High,41,50620,72,88,434,422
India,University of India 425,425,43,429,428,414,51605,37811,13794,2280,22.6,High,41,18572,5,87,438,401
Brazil,University of Brazil 426,426,43,418,425,407,8998,5470,3528,647,13.9,High,26,36665,24,88,430,408
China,University of China 427,427,43,430,432,439,57383,37314,20069,5573,10.3,High,16,20500,68,84,432,449
Germany,University of Germany 428,428,43,431,439,421,30124,15924,14200,1519,19.8,High,31,44746,36,60,477,422
United Kingdom,University of United Kingdom 429,429,43,429,419,431,50946,29378,21568,2313,22.0,High,25,44438,58,95,426,412
United Kingdom,University of United Kingdom 430,430,44,424,424,444,33245,17973,15272,1576,21.1,High,30,48826,61,71,405,438
Switzerland,University of Switzerland 431,431,44,438,433,443,36329,27927,8402,1978,18.4,High,24,27138,32,79,385,438
India,University of India 432,432,44,429,435,427,14727,8957,5770,1232,12.0,High,37,16251,68,77,446,458
Canada,University of Canada 433,433,44,427,427,452,17064,9171,7893,1254,13.6,High,31,36303,37,86,476,449
United Kingdom,University of United Kingdom 434,434,44,426,446,440,40423,31305,9118,3572,11.3,High,22,23506,74,69,422,425
United Kingdom,University of United Kingdom 435,435,44,434,438,428,58293,31061,27232,2661,21.9,High,22,22597,23,68,484,437
Germany,University of Germany 436,436,44,442,421,423,13264,8217,5047,1159,11.4,High,33,59255,13,77,430,415
Canada,University of Canada 437,437,44,439,440,423,50629,34610,16019,2670,19.0,High,13,18448,28,65,473,433
Netherlands,University of Netherlands 438,438,44,430,428,455,59611,47246,12365,5954,10.0,High,45,21393,42,69,431,412
China,University of China 439,439,44,442,429,435,56712,30825,25887,3320,17.1,High,6,17199,69,69,393,413
United Kingdom,University of United Kingdom 440,440,45,448,441,452,11760,8918,2842,724,16.2,High,11,35187,67,98,449,414
United Kingdom,University of United Kingdom 441,441,45,436,453,459,54557,39414,15143,4262,12.8,High,27,45492,72,67,480,422
United States,University of United States 442,442,45,434,435,445,30705,22021,8684,1235,24.9,High,24,20852,36,70,488,424
United States,University of United States 443,443,45,433,429,445,46925,27908,19017,3136,15.0,High,29,39771,31,78,445,467
Switzerland,University of Switzerland 444,444,45,440,435,432,34591,17670,16921,1505,23.0,High,26,35921,55,74,418,450
United Kingdom,University of United Kingdom 445,445,45,439,443,461,50662,39854,10808,3222,15.7,High,36,12679,23,77,490,452
China,University of China 446,446,45,451,451,462,28730,14700,14030,1858,15.5,High,10,38579,27,81,491,449
Switzerland,University of Switzerland 447,447,45,448,442,463,15086,8039,7047,687,22.0,High,12,56822,19,70,450,467
Italy,University of Italy 448,448,45,451,436,440,48159,26357,21802,4719,10.2,High,38,56508,41,89,448,420
Netherlands,University of Netherlands 449,449,45,454,440,456,28192,15957,12235,1845,15.3,High,31,59847,29,73,422,444
United States,University of United States 450,450,46,442,438,465,50285,30288,19997,3690,13.6,High,27,27825,46,95,472,469
Spain,University of Spain 451,451,46,443,460,440,45602,25970,19632,2225,20.5,High,32,51990,36,78,455,433
Netherlands,University of Netherlands 452,452,46,460,445,442,5209,3059,2150,217,24.0,High,37,33328,42,74,428,461
China,University of China 453,453,46,454,449,472,12066,7085,4981,552,21.9,High,36,33327,57,87,489,462
China,University of China 454,454,46,458,459,472,19040,13689,5351,1603,11.9,High,12,50700,66,74,483,446
South Korea,University of South Korea 455,455,46,461,465,473,50931,26863,24068,3589,14.2,High,13,27164,22,94,441,471
United Kingdom,University of United Kingdom 456,456,46,462,460,464,21626,11803,9823,1093,19.8,High,37,13358,56,88,458,446
United Kingdom,University of United Kingdom 457,457,46,465,463,448,23499,17422,6077,1490,15.8,High,30,44437,30,73,503,444
Canada,University of Canada 458,458,46,456,465,473,9642,6441,3201,535,18.0,High,11,42092,15,87,430,479
India,University of India 459,459,46,466,448,472,19308,14776,4532,985,19.6,High,21,12369,65,81,471,463
Switzerland,University of Switzerland 460,460,47,456,471,472,51053,31796,19257,2456,20.8,High,47,11455,14,61,489,461
Australia,University of Australia 461,461,47,469,451,471,30482,19792,10690,1795,17.0,High,36,17225,6,86,440,457
China,University of China 462,462,47,470,449,467,54334,40043,14291,4098,13.3,High,39,42160,32,91,471,453
Germany,University of Germany 463,463,47,454,476,476,33464,20147,13317,1745,19.2,High,27,44442,33,92,452,455
Germany,University of Germany 464,464,47,465,457,458,8141,4853,3288,444,18.3,High,45,32124,45,74,433,490
Australia,University of Australia 465,465,47,462,479,464,36697,24695,12002,2730,13.4,High,35,3143,78,68,469,447
United Kingdom,University of United Kingdom 466,466,47,468,451,467,53635,27946,25689,2634,20.4,High,31,9976,76,75,455,477
Switzerland,University of Switzerland 467,467,47,458,466,475,27641,16106,11535,1578,17.5,High,42,23649,65,75,428,457
South Korea,University of South Korea 468,468,47,458,467,453,49903,28289,21614,2780,18.0,High,22,41900,7,76,468,481
Singapore,University of Singapore 469,469,47,475,466,485,48937,33254,15683,2624,18.6,High,13,59950,16,81,450,449
Japan,University of Japan 470,470,48,463,467,462,28065,18014,10051,1544,18.2,High,24,35511,69,84,439,488
Germany,University of Germany 471,471,48,467,462,465,34781,19832,14949,2244,15.5,High,8,55337,52,73,479,471
Singapore,University of Singapore 472,472,48,462,484,479,39570,21624,17946,2687,14.7,High,12,40784,29,90,512,446
Canada,University of Canada 473,473,48,468,474,462,12495,6313,6182,775,16.1,High,47,37336,71,87,456,468
Japan,University of Japan 474,474,48,480,487,473,16824,9118,7706,818,20.6,High,38,27232,45,71,443,461
Canada,University of Canada 475,475,48,480,467,459,46068,24176,21892,1967,23.4,High,43,18405,56,77,495,447
South Korea,University of South Korea 476,476,48,466,472,463,30486,17254,13232,1486,20.5,High,45,18343,52,93,462,480
Switzerland,University of Switzerland 477,477,48,480,470,481,16524,9284,7240,1638,10.1,High,9,42891,68,97,445,496
Italy,University of Italy 478,478,48,487,481,459,36962,21990,14972,1634,22.6,High,25,50179,77,80,479,494
United States,University of United States 479,479,48,475,492,493,50599,35322,15277,4345,11.6,High,12,21061,7,77,494,478
Italy,University of Italy 480,480,49,484,472,495,11569,6034,5535,692,16.7,High,47,56438,26,71,473,485
Brazil,University of Brazil 481,481,49,487,484,482,52496,35060,17436,2195,23.9,High,13,12520,23,85,472,454
Australia,University of Australia 482,482,49,482,486,468,53613,27014,26599,4338,12.4,High,9,29618,52,86,436,474
Canada,University of Canada 483,483,49,473,476,486,46885,35667,11218,2757,17.0,High,25,26782,24,91,485,488
India,University of India 484,484,49,475,486,466,17605,13274,4331,803,21.9,High,38,53072,22,72,528,513
United Kingdom,University of United Kingdom 485,485,49,475,492,493,44529,28917,15612,1832,24.3,High,20,52888,65,65,451,459
Switzerland,University of Switzerland 486,486,49,489,476,492,54401,27979,26422,2522,21.6,High,18,49804,31,75,463,508
India,University of India 487,487,49,485,493,491,47439,28431,19008,1984,23.9,High,23,52155,63,77,502,514
Switzerland,University of Switzerland 488,488,49,480,496,474,8297,5199,3098,363,22.9,High,47,8787,40,77,463,476
Netherlands,University of Netherlands 489,489,49,490,477,473,48917,27119,21798,2165,22.6,High,48,7156,9,61,443,461
Switzerland,University of Switzerland 490,490,50,491,500,487,23735,13578,10157,2163,11.0,High,43,37900,34,97,476,503
Canada,University of Canada 491,491,50,494,504,502,20112,16063,4049,875,23.0,High,27,3984,36,70,501,515
Germany,University of Germany 492,492,50,494,498,497,57396,42482,14914,4415,13.0,High,16,46138,42,68,501,491
Germany,University of Germany 493,493,50,491,478,478,45751,36567,9184,2029,22.5,High,10,32167,7,92,539,500
United States,University of United States 494,494,50,502,483,487,30677,16405,14272,1828,16.8,High,27,17348,24,80,486,469
Japan,University of Japan 495,495,50,487,488,509,7091,3589,3502,363,19.5,High,16,23451,67,67,499,498
China,University of China 496,496,50,491,484,507,14559,9984,4575,686,21.2,High,13,36034,7,97,514,492
Netherlands,University of Netherlands 497,497,50,494,501,489,32513,19471,13042,1436,22.6,High,23,10274,8,80,518,494
South Korea,University of South Korea 498,498,50,494,512,512,39749,26294,13455,1726,23.0,High,13,28385,73,63,483,511
United States,University of United States 499,499,50,502,511,506,49888,32821,17067,4892,10.2,High,7,19126,50,60,475,486
India,University of India 500,500,51,503,496,499,52508,28484,24024,4803,10.9,Medium,14,25464,59,65,542,495
France,University of France 501,501,51,507,494,516,32299,19366,12933,1415,22.8,Medium,24,37488,73,80,534,511
Japan,University of Japan 502,502,51,504,498,487,52377,40019,12358,2688,19.5,Medium,27,52365,28,82,543,480
Netherlands,University of Netherlands 503,503,51,497,513,493,48651,37021,11630,2224,21.9,Medium,48,20743,69,65,508,505
United States,University of United States 504,504,51,512,508,484,8119,6011,2108,403,20.1,Medium,21,14652,60,71,499,475
United Kingdom,University of United Kingdom 505,505,51,500,515,494,7768,4122,3646,445,17.5,Medium,47,39326,17,67,496,483
Switzerland,University of Switzerland 506,506,51,499,493,515,20217,11130,9087,1038,19.5,Medium,27,38946,7,64,531,476
Switzerland,University of Switzerland 507,507,51,513,512,506,27919,16097,11822,1913,14.6,Medium,35,13301,79,67,478,522
Japan,University of Japan 508,508,51,505,513,501,17991,13872,4119,731,24.6,Medium,27,33802,29,74,483,496
Singapore,University of Singapore 509,509,51,502,499,521,43839,32362,11477,2909,15.1,Medium,43,40346,66,83,517,501
China,University of China 510,510,52,504,496,490,37043,20803,16240,2293,16.2,Medium,36,52800,25,66,509,539
China,University of China 511,511,52,504,502,492,23126,12986,10140,1501,15.4,Medium,13,41073,72,88,490,498
France,University of France 512,512,52,517,526,504,47477,27464,20013,2126,22.3,Medium,20,46130,22,72,470,539
Brazil,University of Brazil 513,513,52,518,512,524,8874,6451,2423,416,21.3,Medium,25,44857,79,60,483,501
Spain,University of Spain 514,514,52,512,499,516,41104,27746,13358,1774,23.2,Medium,39,47442,75,84,511,486
