university_name,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,Position,Location,Established_Year,Number_of_Campuses,Programs_Offered,Total_Faculty,Campus_Area_Acres,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,id,ror,country_code,type,works_count,cited_by_count,is_super_system,summary_stats.2yr_mean_citedness,summary_stats.h_index,summary_stats.i10_index,geo.city,geo.country,geo.latitude,geo.longitude,international.display_name.en,international.display_name.ur,citations_per_work,university_id,year,world_rank,national_rank,overall_score,city,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio,country,region,university_type,total_students,Global_Ranking_Score,Research_Impact_Score,Faculty_to_Student_Ratio,International_Student_Percentage,Academic_Reputation_Score,Research_Productivity_Index
gandhara university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I32401161,https://ror.org/05snv9327,PK,education,956.0,8562.0,False,1.481578947368421,44.0,188.0,Peshawar,Pakistan,34.008,71.57849,Gandhara University,诏丕賳丿诰丕乇丕 蹖賵賳蹖賵乇爻俟蹖,8.956066945606695,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.006990549993481908,0.0,0.0,0.0,0.0
gauhati university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,599.0,2024.0,1190.0,77.0,28.42,India,27.26480092,33.12800373,22.90855866,2216.0,15354.0,19.19311723,105.0,25.1,2.77,Engineering & Technology,0.0,0.0,800.0,8.52125,53:47:00,53.0,47.0,Undergraduate & Postgraduate,4090.0,2727.0,1005.42,118.0,149.0,33.09,24.1,32.62,6.94,India,Asia,Public,6817.0,1.0,0.016800344220494888,0.11735367463693706,0.0,0.136734207221665,2.77
gazi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,600.0,2017.0,941.0,19.0,12.8675,Turkey,11.51943847,11.31398306,14.25772061,28776.0,156826.0,17.36139871,447.0,12.9,3.19,Life Sciences & Medicine,2303.0,3.0,9033.0,8.498616185,49:51:00,49.0,51.0,Undergraduate & Postgraduate,53813.0,22955.0,672.68,22.0,346.0,27.43,26.15,27.52,4.03,Turkey,Asia,Public,76768.0,1.0,0.17108830883175405,0.11766621508962068,2.999947894956232,0.057770503861584756,3.1856526071072735
gazi üniversitesi,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,601.0,2017.0,701.0,10.0,28.5,Ankara,32.89699367,27.82028026,27.85536742,4319.0,47678.0,22.73638925,207.0,30.4,2.06,Engineering & Technology,1067.0,2.544110634,2097.0,20.0,33 : 67,32.96479495,67.03520505,Undergraduate & Postgraduate,24375.0,17565.0,672.68,22.0,346.0,27.43,26.15,27.52,4.03,Turkey,Asia,Public,41940.0,1.0,0.052072058783106515,0.05,2.5441106342393898,0.16497990807422266,2.0596089651883642
gaziantep university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,602.0,2020.0,1279.0,27.0,15.2225,Turkey,17.42138851,13.63191726,11.06714775,11842.0,30580.0,8.135205091,176.0,14.2,3.15,Engineering & Technology,2274.0,6.0,3759.0,10.08326683,38 : 62,38.0,62.0,Undergraduate & Postgraduate,26978.0,10925.0,1034.76,37.0,413.0,23.24,24.15,23.77,3.78,Turkey,Asia,Public,37903.0,1.0,0.03343358582882759,0.09917420784634462,5.999525103553808,0.08736904969909728,3.1503059324288376
gazipur agricultural university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,603.0,2026.0,935.0,3.0,36.6415,Bangladesh,46.52307847,36.05845197,35.70051515,525.0,3914.0,19.47205556,57.0,41.1,2.61,Natural Sciences,41.0,2.0,201.0,10.08457711,54:46:00,54.0,46.0,Undergraduate & Postgraduate,1406.0,621.0,1222.88,24.0,584.0,27.07,19.73,18.03,4.42,Bangladesh,Asia,Private,2027.0,1.0,0.004307382805685516,0.09916132215096202,2.0226936359151457,0.23331533836509527,2.611940298507463
gdansk university of technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,604.0,2025.0,825.5,6.0,60.5,Poland,9.4,15.2,12.7,6641.0,25132.0,11.39791068,177.0,11.0,3.01,Natural Sciences,7562.0,35.19034241,2205.0,9.745578231,51:49:00,50.83879793,49.16120207,Undergraduate & Postgraduate,15660.0,5829.0,1206.26,52.0,258.0,33.0,21.59,17.81,11.59,Poland,Europe,Public,21489.0,1.0,0.027503620329801772,0.10261063800083764,35.190097259062775,0.04714142427281846,3.0117913832199545
gdańsk university of technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,605.0,2016.0,794.0,7.0,14.1875,Gdańsk,15.50184334,13.33908012,13.71233035,4788.0,15559.0,8.711425774,128.0,14.6,2.68,Engineering & Technology,252.0,1.0,1786.0,14.11926092,39 : 61,39.0,61.0,Undergraduate & Postgraduate,15019.0,10198.0,681.14,7.0,507.0,20.2,19.84,21.72,2.57,Poland,Europe,Public,25217.0,1.0,0.017042289207811145,0.07082523694333188,0.9993258516080421,0.07774244403209629,2.6808510638297873
gdynia maritime university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,606.0,2025.0,1851.0,51.0,18.8065,Poland,21.80160232,14.38550278,17.33899193,142.0,4460.0,18.35298464,61.0,19.6,0.58,Natural Sciences,95.0,3.0,243.0,12.98353909,31 : 69,31.0,69.0,Undergraduate & Postgraduate,1656.0,1499.0,1206.26,52.0,258.0,33.0,21.59,17.81,11.59,Poland,Europe,Public,3155.0,1.0,0.004905033190552225,0.07702060221870048,3.011093502377179,0.10933601965897694,0.5843621399176955
gebze technical university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,607.0,2018.0,790.0,11.0,22.3,Turkey,26.38411806,27.51042915,22.35072155,1440.0,6454.0,16.01380908,77.0,24.4,3.57,Arts & Humanities,116.0,2.0,403.0,14.34491315,34 : 66,34.0,66.0,Undergraduate & Postgraduate,3828.0,1953.0,787.5,27.0,360.0,24.98,25.34,25.46,3.59,Turkey,Asia,Public,5781.0,1.0,0.007088797620502347,0.06971112264314132,2.006573257221934,0.13231754292878634,3.5732009925558312
gebze yüksek teknoloji enstitüsü,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,608.0,2023.0,1228.0,29.0,31.7,Turkey,2.7,1.6,9.3,3958.0,10040.0,7.301930217,115.0,6.0,2.88,Social Sciences & Management,4407.0,25.09781613,1375.0,12.77090909,54:46:00,53.9757601,46.0242399,Undergraduate & Postgraduate,11032.0,6528.0,1264.96,73.0,460.0,24.69,17.31,16.31,8.88,Turkey,Asia,Public,17560.0,1.0,0.011023601474966312,0.07830296127562643,25.096810933940773,0.013540621865596791,2.8785454545454545
georg-august-universität göttingen,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,609.0,2026.0,243.0,35.0,51.1,Germany,57.3,35.6,25.8,9330.0,54746.0,19.72812843,256.0,41.6,3.36,Life Sciences & Medicine,5855.0,22.31822499,2775.0,9.453693694,59:41:00,59.31994654,40.68005346,Undergraduate & Postgraduate,17851.0,8383.0,409.72,100.0,22.0,51.42,45.16,47.76,22.4,Germany,Europe,Public,26234.0,1.0,0.05980640590857418,0.10577876038728368,22.318365479911563,0.2873620862587763,3.362162162162162
"george emil palade university of medicine, pharmacy, science, and technology of targu mures",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,610.0,2021.0,1464.0,15.0,14.015,Romania,12.72790883,12.60813695,9.488175058,2449.0,9443.0,8.529910786,122.0,11.1,2.21,Engineering & Technology,850.0,8.0,1107.0,9.601626016,53:47:00,53.0,47.0,Undergraduate & Postgraduate,6303.0,4326.0,1160.0,17.0,764.0,21.97,23.01,21.93,8.19,Romania,Europe,Public,10629.0,1.0,0.010379412740458345,0.10414902624894158,7.996989368708252,0.06383103726178535,2.212285456187895
george mason university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,611.0,2016.0,351.0,98.0,38.205,Fairfax,33.82101609,44.42512171,38.60025428,5287.0,34128.0,24.39447043,195.0,36.2,3.78,Arts & Humanities,1864.0,7.0,1399.0,19.02930665,54:46:00,54.0,46.0,Undergraduate & Postgraduate,12809.0,13813.0,268.1,147.0,1.0,48.97,48.75,49.63,12.14,United States,North America,Public,26622.0,1.0,0.037311509478174465,0.052550522124558637,7.001727894222823,0.16961392221664995,3.7791279485346676
george washington university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,612.0,2016.0,253.0,78.0,44.515,Ashburn,34.80635826,52.43376085,45.8621662,5412.0,65370.0,42.6419423,272.0,40.3,3.53,Natural Sciences,3287.0,16.0,1533.0,13.39921722,56:44:00,56.0,44.0,Undergraduate & Postgraduate,11344.0,9197.0,268.1,147.0,1.0,48.97,48.75,49.63,12.14,United States,North America,Private,20541.0,1.0,0.0713849295760465,0.0746312253541697,16.002142057348717,0.17455545767301905,3.5303326810176126
georgetown university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,613.0,2016.0,94.0,38.0,58.8,Washington D.C.,69.75320166,55.04239032,55.14047325,6913.0,31208.0,29.49711618,169.0,62.4,6.53,Arts & Humanities,2157.0,14.0,1058.0,14.56332703,53:47:00,53.0,47.0,Undergraduate & Postgraduate,12116.0,3292.0,268.1,147.0,1.0,48.97,48.75,49.63,12.14,United States,North America,Private,15408.0,1.0,0.03411152167067776,0.0686656282450675,13.999221183800623,0.349815454663992,6.534026465028355
georgia institute of technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,614.0,2016.0,41.0,23.0,72.1,Atlanta,54.14041543,75.43892356,84.28766196,10472.0,107786.0,64.00602322,282.0,69.2,6.22,Life Sciences & Medicine,5191.0,26.0,1684.0,11.85688836,31 : 69,31.0,69.0,Undergraduate & Postgraduate,13360.0,6607.0,268.1,147.0,1.0,48.97,48.75,49.63,12.14,United States,North America,Public,19967.0,1.0,0.1175678459738476,0.08433915961336205,25.9978965292733,0.27151662703109325,6.218527315914489
georgia southern university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,615.0,2022.0,1158.0,243.0,23.255,United States,22.93485792,24.09386505,25.7061631,4991.0,40441.0,30.84754014,204.0,24.3,3.81,Social Sciences & Management,541.0,3.0,1311.0,13.76048818,57:43:00,57.0,43.0,Undergraduate & Postgraduate,12575.0,5465.0,563.63,249.0,1.0,44.6,44.17,44.61,75.31,United States,North America,Public,18040.0,1.0,0.04419129275642835,0.07267184035476719,2.998891352549889,0.11501934764292877,3.807017543859649
georgia state university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,616.0,2016.0,455.0,116.0,32.54,Atlanta,31.10419947,35.0801329,34.5280488,5248.0,68522.0,33.07034617,294.0,32.8,2.53,Natural Sciences,1427.0,5.0,2072.0,13.77123552,59:41:00,59.0,41.0,Undergraduate & Postgraduate,20665.0,7869.0,268.1,147.0,1.0,48.97,48.75,49.63,12.14,United States,North America,Public,28534.0,1.0,0.07483421053132916,0.07261512581481741,5.001051377304268,0.15598896424272818,2.5328185328185326
georgian technical university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,617.0,2024.0,1515.0,3.0,22.619,Georgia,6.3,4.2,19.46974957,4935.0,18238.0,15.40402608,136.0,12.9,4.17,Arts & Humanities,397.0,2.0,1184.0,16.78462838,51:49:00,50.66119194,49.33880806,Undergraduate & Postgraduate,16728.0,3145.0,1200.17,3.0,825.5,22.85,13.66,15.04,3.0,Georgia,Asia,Public,19873.0,1.0,0.019965224150192046,0.059578322346902836,1.9976853016655762,0.03159478435305917,4.168074324324325
german jordanian university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,618.0,2019.0,775.5,4.0,38.4,Jordan,40.11495675,45.1856679,45.77354756,1373.0,17597.0,49.2912367,138.0,42.9,3.85,Life Sciences & Medicine,537.0,11.57078216,357.0,13.0,51:49:00,51.32093837,48.67906163,Undergraduate & Postgraduate,3232.0,1409.0,830.07,7.0,389.0,32.03,33.78,36.11,12.4,Jordan,Asia,Public,4641.0,1.0,0.019269053984213427,0.07692307692307693,11.570782159017453,0.20117831870611833,3.84593837535014
german university in cairo,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,619.0,2020.0,1001.0,14.0,28.3,Cairo,26.79677226,26.80635651,34.51366945,2097.0,20757.0,27.93717656,151.0,30.7,2.82,Engineering & Technology,49.0,0.387934447,743.0,17.0,46:54:00,45.52969382,54.47030618,Undergraduate & Postgraduate,8714.0,3917.0,875.0,22.0,395.0,25.3,25.36,25.81,1.67,Egypt,Africa,Private,12631.0,1.0,0.022719695709953407,0.058823529411764705,0.3879344469954873,0.13438702236710132,2.822341857335128
german university of technology in oman,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,620.0,2026.0,1100.5,5.0,49.8,Oman,9.1,14.3,8.5,2468.0,4627.0,6.373276337,49.0,8.8,3.4,Life Sciences & Medicine,1966.0,26.29848127,726.0,10.29476584,38 : 62,38.43872062,61.56127938,Undergraduate & Postgraduate,5302.0,2172.0,810.2,5.0,334.0,47.14,13.42,20.1,15.15,Oman,Asia,Private for Profit,7474.0,1.0,0.005077034576360859,0.09713674070109714,26.3045223441263,0.045636910732196584,3.399449035812672
ghazi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210116806,https://ror.org/023a7t361,PK,education,2045.0,28975.0,False,3.589488636363636,78.0,582.0,Dera Ghazi Khan,Pakistan,30.04587,70.64029,Ghazi University,,14.168704156479215,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.023656994400973873,0.0,0.0,0.0,0.0
ghent university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,622.0,2016.0,120.0,2.0,56.6,Ghent,24.86322481,69.56137864,47.53052593,5412.0,74191.0,44.88285775,278.0,36.2,3.27,Engineering & Technology,2895.0,9.0,1653.0,19.45916515,57:43:00,57.0,43.0,Undergraduate & Postgraduate,22865.0,9301.0,211.0,7.0,35.0,50.18,45.84,51.9,19.0,Belgium,Europe,Public,32166.0,1.0,0.08099251331309777,0.051389666107069576,9.000186532363365,0.12469019463390169,3.2740471869328496
gheorghe asachi technical university of iaşi,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,623.0,2022.0,1568.0,19.0,14.93,Romania,16.81738087,13.60958008,18.75531464,1649.0,12080.0,16.70831697,104.0,17.8,2.28,Life Sciences & Medicine,941.0,7.0,723.0,18.59197787,30 : 70,30.0,70.0,Undergraduate & Postgraduate,8715.0,4727.0,1267.76,23.0,558.0,22.22,22.89,21.69,7.75,Romania,Europe,Private,13442.0,1.0,0.013235397776337778,0.05378663889302187,7.000446362148489,0.0843399241223671,2.280774550484094
ghulam ishaq khan institute of engineering sciences and technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I5400463,https://ror.org/01sb6ek09,PK,funder,3539.0,58967.0,False,5.121890547263682,88.0,1436.0,Topi,Pakistan,34.07034,72.62147,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,睾賱丕賲 丕爻丨丕賯 丕賳爻俟蹖俟蹖賵俟 亘乇丕卅蹝 丕賳噩蹖賳蹖乇賳诏 爻丕卅賳爻 丕蹖賳趫 俟蹖讴賳丕賱賵噩蹖,16.66205142695677,624.0,2025.0,1042.0,30.0,33.5095,Pakistan,41.73273635,33.23956308,31.65269838,671.0,4545.0,25.82420662,74.0,36.7,3.81,Social Sciences & Management,0.0,0.0,176.0,12.33522727,52:48:00,51.66275681,48.33724319,Undergraduate & Postgraduate,1586.0,585.0,1005.39,53.0,315.0,33.79,27.93,30.14,3.37,Pakistan,Asia,Public,2171.0,1.0,0.053152510526239864,0.08106863196683556,0.0,0.20929155641925778,23.920454545454547
gift university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210135941,https://ror.org/04tb22w36,PK,education,1559.0,12345.0,False,1.5833333333333333,52.0,254.0,Gujranwala,Pakistan,32.15567,74.18705,GIFT University,,7.918537524053881,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.010079226777567644,0.0,0.0,0.0,0.0
gifu university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,625.0,2016.0,707.0,27.0,19.3075,Gifu City,20.03415452,13.5952915,14.60732635,1752.0,6803.0,14.32209431,78.0,17.3,3.69,Engineering & Technology,293.0,4.0,475.0,15.40631579,35 : 65,35.0,65.0,Undergraduate & Postgraduate,3205.0,4113.0,581.46,41.0,43.0,26.22,26.88,26.63,5.34,Japan,Asia,Public,7318.0,1.0,0.007469541194467978,0.06490844493030883,4.003826182016945,0.10047218916750252,3.688421052631579
giresun university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,626.0,2026.0,2013.0,86.0,17.5175,Turkey,18.91376628,15.29182366,22.85415212,4906.0,42339.0,19.43044457,181.0,20.9,2.25,Life Sciences & Medicine,1595.0,6.0,2179.0,12.19642038,50:50:00,50.0,50.0,Undergraduate & Postgraduate,19562.0,7014.0,1633.16,98.0,351.0,24.68,24.91,23.94,9.43,Turkey,Asia,Public,26576.0,1.0,0.04623870798655232,0.08199127031908489,6.001655629139073,0.09485339157472417,2.2514915098669115
gitam university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,592.0,2018.0,1088.0,44.0,11.515,India,10.31240269,11.74941978,9.664302741,3294.0,5787.0,6.981115843,90.0,10.0,3.97,Arts & Humanities,148.0,1.0,829.0,17.87937274,27 : 73,27.0,73.0,Undergraduate & Postgraduate,9417.0,5405.0,798.04,47.0,172.0,23.37,23.1,23.36,2.38,India,Asia,Private,14822.0,1.0,0.006373304514029407,0.05593037376872217,0.9985157198758601,0.051717164944834505,3.9734620024125453
gla university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,593.0,2024.0,1145.0,74.0,29.4075,India,29.4652717,29.32010032,32.68666667,3774.0,20555.0,26.83439486,169.0,31.1,4.93,Engineering & Technology,0.0,0.0,766.0,13.99347258,29 : 71,29.0,71.0,Undergraduate & Postgraduate,7996.0,2723.0,1005.42,118.0,149.0,33.09,24.1,32.62,6.94,India,Asia,Public,10719.0,1.0,0.022514491524985514,0.07146189010168859,0.0,0.1477696675025075,4.926892950391645
glasgow caledonian university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,627.0,2016.0,677.0,73.0,20.3825,London,29.07774329,25.50641881,22.76363807,3031.0,19610.0,17.52432583,145.0,25.9,2.71,Natural Sciences,2164.0,16.0,1119.0,12.08668454,60:40:00,60.0,40.0,Undergraduate & Postgraduate,10366.0,3159.0,329.32,78.0,2.0,43.92,43.23,42.78,28.22,United Kingdom,Europe,Public,13525.0,1.0,0.02146615396464555,0.08273567467652496,16.0,0.14582619503510533,2.708668453976765
gmr institute of technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,594.0,2025.0,1639.0,122.0,23.086,India,19.22290875,25.3157871,15.76386708,734.0,3510.0,14.26790481,57.0,17.5,2.98,Arts & Humanities,0.0,0.0,246.0,15.89837398,27 : 73,27.0,73.0,Undergraduate & Postgraduate,3042.0,869.0,1073.64,135.0,118.0,35.02,25.4,32.61,7.01,India,Asia,Private,3911.0,1.0,0.0038675817938710346,0.06289951419074405,0.0,0.09640375501504513,2.983739837398374
goa university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,628.0,2024.0,1520.0,104.0,22.517,India,24.80901814,24.47066604,25.00174489,1422.0,11277.0,24.78405764,103.0,24.9,3.13,Engineering & Technology,85.0,3.0,455.0,6.197802198,65:35:00,65.0,35.0,Undergraduate & Postgraduate,1898.0,922.0,1005.42,118.0,149.0,33.09,24.1,32.62,6.94,India,Asia,Private,2820.0,1.0,0.012360422372263796,0.16134751773049646,3.0141843971631204,0.12441834573721162,3.1252747252747253
goethe university frankfurt,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,629.0,2016.0,202.0,21.0,48.5775,Germany,44.46234411,52.02650323,48.7044963,16760.0,207412.0,66.45703493,405.0,46.6,5.37,Social Sciences & Management,4779.0,15.0,3121.0,10.20858699,60:40:00,60.0,40.0,Undergraduate & Postgraduate,24248.0,7613.0,197.73,37.0,29.0,51.04,51.73,51.73,12.68,Germany,Europe,Public,31861.0,1.0,0.22612276490050454,0.09795674963121057,14.99952920498415,0.2229806625376128,5.370073694328741
goethe universität frankfurt am main,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,630.0,2026.0,316.0,46.0,44.0,Germany,52.1,38.6,31.7,7183.0,97587.0,29.13902155,295.0,41.9,2.14,Arts & Humanities,6161.0,23.27237531,3349.0,7.905344879,52:48:00,51.52326107,48.47673893,Undergraduate & Postgraduate,21716.0,4759.0,409.72,100.0,22.0,51.42,45.16,47.76,22.4,Germany,Europe,Public,26475.0,1.0,0.10647566166783103,0.12649669499527857,23.271010387157695,0.261283851554664,2.1448193490594205
goethe-university frankfurt am main,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,631.0,2017.0,264.0,38.0,39.2,Frankfurt,40.08586655,42.03545971,32.89777379,164.0,1648.0,32.96339705,44.0,36.5,3.28,Social Sciences & Management,6.749,15.52350722,50.0,12.0,48:52:00,47.896525,52.103475,Undergraduate & Postgraduate,31.0,12.0,297.42,77.0,30.0,48.53,48.86,49.14,12.77,Germany,Europe,Public,43.476,1.0,0.001829964111039958,1.1500598031097617,15.523507222375562,0.20103243004012034,3.28
"goldsmiths, university of london",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,632.0,2017.0,425.5,63.0,43.3,London,55.23575017,41.16090488,44.95859707,2398.0,33307.0,48.76625462,178.0,50.1,3.51,Life Sciences & Medicine,3.492,0.048132323,683.0,13.0,67:33:00,67.0,33.0,Undergraduate & Postgraduate,5384.0,1871.0,367.05,105.0,4.0,44.04,43.22,43.94,25.93,United Kingdom,Europe,Public,7255.0,1.0,0.036403875583124155,0.09414197105444522,0.048132322536181944,0.2770097801905717,3.5109809663250364
golestan university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,633.0,2025.0,732.0,10.0,39.7565,Iran,38.32501984,38.78144777,34.8129638,953.0,5467.0,26.53937883,85.0,36.6,4.63,Life Sciences & Medicine,308.0,8.0,206.0,18.69902913,60:40:00,60.0,40.0,Undergraduate & Postgraduate,1878.0,1974.0,1110.58,72.0,410.0,32.58,32.54,33.08,4.0,Iran,Asia,Private,3852.0,1.0,0.006020864965576589,0.05347871235721703,7.995846313603323,0.19220170431293881,4.62621359223301
golestan university of medical sciences,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,634.0,2023.0,367.0,2.0,46.2025,Iran,42.78970691,46.61682892,59.47642702,1478.0,10344.0,45.16913023,98.0,51.1,6.45,Arts & Humanities,409.0,11.0,229.0,16.2489083,60:40:00,60.0,40.0,Undergraduate & Postgraduate,2731.0,990.0,949.98,59.0,362.0,31.0,31.21,31.21,2.61,Iran,Asia,Public,3721.0,1.0,0.011340660991528114,0.06154259607632357,10.991668906208009,0.21459231148445335,6.454148471615721
